                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.64993,                0.30102,                0.88887,                 0.9774,                0.97125,                0.98693,                0.84425,                0.60921,                0.26043,                0.87278,                 0.0005,                 0.0005,                 0.0005
                     53,                0.64215,                 0.2975,                0.88945,                0.97745,                0.97109,                 0.9871,                0.84423,                0.60918,                0.26019,                0.87295,             0.00048429,             0.00048429,             0.00048429
                     54,                0.64573,                0.29496,                0.89047,                0.97744,                0.97054,                0.98726,                0.84495,                0.60925,                0.25953,                0.87338,              0.0004686,              0.0004686,              0.0004686
                     55,                0.63445,                0.29109,                0.88328,                0.97744,                0.97064,                 0.9873,                0.84549,                0.60897,                0.25863,                0.87334,             0.00045295,             0.00045295,             0.00045295
                     56,                0.64089,                0.29229,                0.89091,                0.97815,                0.96938,                0.98739,                0.84552,                0.60886,                0.25871,                0.87334,             0.00043733,             0.00043733,             0.00043733
                     57,                0.64444,                 0.2938,                0.88598,                0.97778,                0.96938,                0.98731,                0.84569,                0.60852,                0.25829,                0.87349,             0.00042178,             0.00042178,             0.00042178
                     58,                0.63748,                0.28832,                0.88549,                0.97806,                0.96938,                0.98727,                0.84599,                 0.6083,                0.25784,                0.87326,             0.00040631,             0.00040631,             0.00040631
                     59,                0.63713,                 0.2861,                0.88357,                0.97812,                0.96938,                0.98729,                0.84577,                0.60795,                0.25727,                0.87311,             0.00039093,             0.00039093,             0.00039093
                     60,                0.63386,                0.28593,                0.89003,                 0.9778,                0.97047,                0.98736,                0.84584,                  0.608,                0.25719,                0.87317,             0.00037566,             0.00037566,             0.00037566
                     61,                 0.6414,                0.28692,                0.88635,                0.97805,                0.97013,                 0.9874,                0.84618,                0.60799,                0.25709,                0.87327,              0.0003605,              0.0003605,              0.0003605
                     62,                0.63291,                0.28073,                0.88572,                  0.978,                0.97013,                0.98729,                0.84567,                0.60809,                0.25671,                0.87335,             0.00034549,             0.00034549,             0.00034549
                     63,                0.63047,                 0.2821,                0.88477,                0.97816,                0.97017,                 0.9872,                0.84527,                0.60794,                0.25648,                0.87347,             0.00033063,             0.00033063,             0.00033063
                     64,                0.62319,                0.27724,                0.88275,                0.97816,                0.97008,                0.98715,                0.84563,                0.60783,                0.25627,                0.87349,             0.00031594,             0.00031594,             0.00031594
                     65,                0.63096,                0.27951,                0.88658,                0.96861,                0.97942,                0.98719,                0.84557,                0.60771,                0.25594,                0.87352,             0.00030143,             0.00030143,             0.00030143
                     66,                0.62658,                0.27758,                0.88202,                0.96861,                0.97947,                0.98708,                0.84574,                 0.6078,                 0.2558,                0.87335,             0.00028711,             0.00028711,             0.00028711
                     67,                0.62723,                0.27276,                0.88371,                0.96897,                0.97942,                0.98708,                0.84609,                0.60792,                0.25505,                0.87337,               0.000273,               0.000273,               0.000273
                     68,                 0.6199,                  0.271,                0.88359,                0.96897,                0.97938,                0.98693,                0.84594,                 0.6078,                0.25505,                0.87333,             0.00025912,             0.00025912,             0.00025912
                     69,                0.61322,                0.26926,                0.87907,                0.96863,                0.98004,                0.98691,                0.84607,                0.60756,                0.25512,                0.87334,             0.00024548,             0.00024548,             0.00024548
                     70,                0.62281,                0.27145,                0.88294,                0.96865,                 0.9808,                0.98698,                0.84618,                0.60745,                0.25508,                0.87324,             0.00023209,             0.00023209,             0.00023209
